5141.EFNCRP00000007282	GO:0004476,GO:0031505
3702.AT4G35000.1	GO:0005739,GO:0005774,GO:0006979,GO:0009506,GO:0009941
10090.ENSMUSP00000030691	GO:0005522,GO:0007010,GO:0017157,GO:0019933,GO:0030073,GO:0045202
9606.ENSP00000227752	GO:0004920,GO:0005886
9606.ENSP00000402758	GO:0005789,GO:0005794,GO:0005886,GO:0032438,GO:0032585,GO:0042470
9606.ENSP00000349887	GO:0005730,GO:0005737,GO:0015105
10090.ENSMUSP00000030345	GO:0005739
10090.ENSMUSP00000030340	GO:0005739,GO:0005777,GO:0006637,GO:0007031,GO:0050632
511145.b2473	GO:0016788
3702.AT1G61680.1	GO:0034007,GO:0043693
4896.SPCC737.05.1	GO:0005783
9606.ENSP00000320493	GO:0005829,GO:0007264,GO:0051056
9606.ENSP00000370297	GO:0007399,GO:0016015,GO:0030282,GO:0030509,GO:0032926,GO:0035582,GO:0036122,GO:0048263,GO:2000381
10116.ENSRNOP00000013745	GO:0001775,GO:0007568,GO:0008191,GO:0031012,GO:0034097,GO:0042060,GO:0043066,GO:0043434
10116.ENSRNOP00000028261	GO:0004497
9913.ENSBTAP00000009106	GO:0005739,GO:0008203,GO:0008386,GO:0042359
9606.ENSP00000261172	GO:0005539,GO:0007565
9606.ENSP00000261173	GO:0005388,GO:0005887,GO:0007596
9606.ENSP00000261170	GO:0004383,GO:0007168
7227.FBpp0077326	GO:0000242,GO:0005525,GO:0005819,GO:0005874,GO:0007020,GO:0007052,GO:0008274,GO:0008275,GO:0010457,GO:0051298,GO:0051306,GO:0051726
3702.AT1G73790.1	GO:0008274,GO:0051418
9606.ENSP00000249806	GO:0001573,GO:0005788,GO:0007042,GO:0008203,GO:0030203,GO:0042803,GO:0045862
10090.ENSMUSP00000090307	GO:0003836,GO:0006468,GO:0006486
10090.ENSMUSP00000090304	GO:0005605,GO:0007411,GO:0032224,GO:0042383
9031.ENSGALP00000000227	GO:0005667,GO:0042693,GO:0045944,GO:0046982,GO:0070888
9606.ENSP00000350266	GO:0017112
4896.SPBC32F12.09.1	GO:0000751,GO:0004861,GO:0005634,GO:0007165,GO:0030174,GO:0030996,GO:0031568,GO:0045736
9606.ENSP00000265872	GO:0000398,GO:0005654,GO:0030374
4932.YGR276C	GO:0000175,GO:0000467,GO:0002107,GO:0005634,GO:0034415,GO:0034476
9606.ENSP00000265870	GO:0009108,GO:0015939
10090.ENSMUSP00000102171	GO:0030316
9606.ENSP00000313803	GO:0004984,GO:0005886
4932.Q0115	GO:0000372,GO:0003723,GO:0005739
10116.ENSRNOP00000006517	GO:0001822,GO:0030213,GO:0035810,GO:0050501,GO:0070295
7227.FBpp0099478	GO:0032922,GO:0045187,GO:0045475,GO:0045944
10116.ENSRNOP00000006512	GO:0016913,GO:0016914,GO:0042699
4932.Q0110	GO:0004518,GO:0005739,GO:0008380
10090.ENSMUSP00000082577	GO:0005057
7955.ENSDARP00000105372	GO:0001568,GO:0001756,GO:0030325,GO:0039021,GO:0043114,GO:0061386,GO:0072149
4932.YML031W	GO:0005816,GO:0006913,GO:0006999,GO:0017056,GO:0030474,GO:0070762
4932.YER148W	GO:0000126,GO:0000979,GO:0001016,GO:0001026,GO:0001075,GO:0001102,GO:0001179,GO:0001186,GO:0003682,GO:0005669,GO:0008301,GO:0042790,GO:0070893,GO:0070898
5141.EFNCRP00000009045	GO:0004712,GO:0005634,GO:0005829,GO:0005876,GO:0007067,GO:0030496,GO:0031145,GO:0031616,GO:0031647,GO:0032091,GO:0043146,GO:0045840,GO:0046605,GO:0046777,GO:0048471
9606.ENSP00000267436	GO:0006103,GO:0044267,GO:0047545
7227.FBpp0078314	GO:0006887,GO:0007224,GO:0007280
316385.ECDH10B_1574	GO:0009447,GO:0019145,GO:0033737,GO:0042802
316385.ECDH10B_1577	GO:0006928
316407.85674884	GO:0006857
316407.85674885	GO:0015421,GO:0042937
7955.ENSDARP00000009432	GO:0005783,GO:0007368,GO:0008543,GO:0030917,GO:0040036,GO:0070121
10090.ENSMUSP00000046271	GO:0006112,GO:0007631,GO:0030819,GO:0031782,GO:0097009
316407.85674888	GO:0004834,GO:0005737,GO:0030170
4932.YER053C	GO:0005315,GO:0005739,GO:0006817
511145.b0809	GO:0005886
511145.b0808	GO:0008381,GO:0071470
3702.AT1G31810.1	GO:0005819,GO:0008017,GO:0009524,GO:0009556,GO:0009574,GO:0051015
9031.ENSGALP00000025010	GO:0001889,GO:0005829,GO:0006094,GO:0006096,GO:0044281
9606.ENSP00000342267	GO:0000050,GO:0000064,GO:0000066,GO:0005743,GO:0006520,GO:0016021
10090.ENSMUSP00000039544	GO:0005634,GO:0016567,GO:0019005
10090.ENSMUSP00000003061	GO:0005055,GO:0007155,GO:0009986
10090.ENSMUSP00000003066	GO:0002021,GO:0005829,GO:0006707,GO:0006874,GO:0006979,GO:0010468,GO:0010873,GO:0017127,GO:0033344,GO:0034362,GO:0034372,GO:0034374,GO:0042158,GO:0042159,GO:0042311,GO:0042632,GO:0048844,GO:0050728,GO:0051651,GO:0060228,GO:0071813
246196.MSMEG_5261	GO:0010126,GO:0010127
511145.b0807	GO:0052907,GO:0070475
5062.CADAORAP00001087	GO:0004571,GO:0006491
10090.ENSMUSP00000078169	GO:0016020
3702.AT4G34260.1	GO:0047513,GO:0048046
511145.b0566	GO:0009266,GO:0016020
10116.ENSRNOP00000038045	GO:0005737,GO:0016020,GO:0045786
44689.DDB0191341	GO:0006971,GO:0031164,GO:0033298
3702.AT2G47610.1	GO:0005730,GO:0005774,GO:0009506,GO:0009507,GO:0022625
44689.DDB0191347	GO:0031252
44689.DDB0191346	GO:0031152,GO:0043327
44689.DDB0191345	GO:0000281,GO:0001891,GO:0006907,GO:0016905,GO:0031252,GO:0050766
44689.DDB0191349	GO:0005516,GO:0045335
4932.YHL038C	GO:0000372,GO:0003723,GO:0005739
3702.AT2G41410.1	GO:0005886
316407.1736787	GO:0000160,GO:0046777
316407.85674771	GO:0097023
316407.1736785	GO:0005887,GO:0015307
316407.85674773	GO:0006974,GO:0034634,GO:0034775
10090.ENSMUSP00000022416	GO:0005509,GO:0005544,GO:0005737,GO:0008429
316407.85674775	GO:0000287,GO:0016791,GO:0032363
316407.1736781	GO:0005887,GO:0015307
9606.ENSP00000285238	GO:0005524,GO:0005887,GO:0008206,GO:0008514,GO:0015721,GO:0042626
10090.ENSMUSP00000109144	GO:0001541,GO:0001570,GO:0001945,GO:0002042,GO:0002053,GO:0003157,GO:0005769,GO:0009897,GO:0010595,GO:0030054,GO:0030513,GO:0030949,GO:0035162,GO:0038083,GO:0043129,GO:0045165,GO:0045766,GO:0048286,GO:0048469,GO:0048754,GO:0055074,GO:0060837,GO:2001214
316407.85674779	GO:0009432,GO:0018169,GO:0018410,GO:0042802
7227.FBpp0303103	GO:0007444,GO:0048749
10090.ENSMUSP00000022419	GO:0002931,GO:0005739,GO:0008637,GO:0010849,GO:0010940,GO:0032780,GO:0046902,GO:0070266,GO:0070301,GO:0071243,GO:0071277,GO:0090200,GO:0090324,GO:2000276
7227.FBpp0074151	GO:0007052,GO:0030532,GO:0071011,GO:0071013
7227.FBpp0303107	GO:0000398,GO:0001077,GO:0001078,GO:0003677,GO:0007417,GO:0007483,GO:0007485,GO:0007486,GO:0016199,GO:0035263,GO:0042803,GO:0045498,GO:0045570,GO:0046661,GO:0048086
316407.1736788	GO:0000986,GO:0006351,GO:2000144,GO:2001023
316385.ECDH10B_4120	GO:0009408,GO:0016020
316385.ECDH10B_4121	GO:0005829,GO:0009408
316385.ECDH10B_4122	GO:0000917,GO:0005886,GO:0030428
316385.ECDH10B_4123	GO:0000976,GO:0045892
316385.ECDH10B_4124	GO:0006268,GO:0006270,GO:0006276,GO:0006302,GO:0006310,GO:0010332,GO:0043140,GO:0046677
316385.ECDH10B_4125	GO:0008270,GO:0022625
3702.AT4G30290.1	GO:0010411,GO:0080039
316385.ECDH10B_4128	GO:0003962,GO:0009086,GO:0030170
316385.ECDH10B_4129	GO:0004072,GO:0004412,GO:0009089,GO:0009090
9606.ENSP00000310447	GO:0004359,GO:0005759,GO:0007269,GO:0008652,GO:0014047,GO:0034641,GO:0042981,GO:0072593
6239.F33A8.1.1	GO:0000790,GO:0005654,GO:0007369,GO:0042078,GO:0043073
9606.ENSP00000310440	GO:0005829,GO:0016032,GO:0016197
10116.ENSRNOP00000030212	GO:0030900,GO:0032403,GO:0045664
4896.SPAC23G3.12c.1	GO:0005634
9615.ENSCAFP00000036940	GO:0005794,GO:0005802,GO:0030859,GO:0043001,GO:0055037,GO:0061467,GO:0072372
511145.b3966	GO:0015889
9606.ENSP00000424757	GO:0000242,GO:0004672,GO:0005730,GO:0031965,GO:0042384
10090.ENSMUSP00000072894	GO:0005829,GO:0016020
10090.ENSMUSP00000043315	GO:0001825,GO:0005634,GO:0016070
10090.ENSMUSP00000043311	GO:0005921,GO:0045732
10090.ENSMUSP00000034443	GO:0005901,GO:0031594
7227.FBpp0088469	GO:0000022,GO:0000775,GO:0005525,GO:0005634,GO:0005813,GO:0005827,GO:0005875,GO:0007282,GO:0007411,GO:0008017,GO:0016325,GO:0019827,GO:0030723,GO:0035099,GO:0040001,GO:0043148,GO:0045169,GO:0045172,GO:0046580,GO:0046602,GO:0051225,GO:0051315
9913.ENSBTAP00000017376	GO:0004311,GO:0006720
9606.ENSP00000376317	GO:0000165,GO:0004674,GO:0004860,GO:0005739,GO:0031572,GO:0043507,GO:0046329,GO:0046330,GO:0046777
511145.b3962	GO:0008746,GO:0042802,GO:0045454,GO:0050660
4896.SPAC1006.04c.1	GO:0005737
316407.1736875	GO:0003700,GO:0045893
316407.1736874	GO:0000155,GO:0005524,GO:0005886,GO:0046777
316407.1736877	GO:0008775
3702.AT5G26751.1	GO:0005829,GO:0009933,GO:0042538
9606.ENSP00000466933	GO:0000187,GO:0004930,GO:0005886,GO:0008284,GO:0008289
10090.ENSMUSP00000068516	GO:0007256
3702.AT4G18100.1	GO:0005730,GO:0022625
10090.ENSMUSP00000083620	GO:0001501,GO:0005581,GO:0030199,GO:0043588,GO:0071230
4896.SPBC1685.15c.1	GO:0000070,GO:0000778,GO:0000915,GO:0005829,GO:0007126,GO:0008608,GO:0031113,GO:0031114,GO:0034504,GO:0044732,GO:0051233
3702.AT1G04970.1	GO:0005774
10090.ENSMUSP00000046891	GO:0000145,GO:0001750,GO:0003779,GO:0015629,GO:0017022,GO:0017137,GO:0030050,GO:0042470,GO:0045202
4932.YPR026W	GO:0000324,GO:0004555,GO:0005993,GO:0009277,GO:0030287,GO:0071361,GO:0071465,GO:0071497
9606.ENSP00000472931	GO:0003729,GO:0005654,GO:0005730,GO:0005737
9606.ENSP00000242257	GO:0005730
10090.ENSMUSP00000002825	GO:0000793,GO:0003007,GO:0005634,GO:0005721,GO:0006302,GO:0006333,GO:0048096,GO:0071884
3702.AT1G76550.1	GO:0005829,GO:0015979,GO:0047334
4932.YBR240C	GO:0000978,GO:0005634,GO:0045944,GO:0090180
4896.SPAC25B8.06c.1	GO:0005739
4896.SPBC609.03.1	GO:0005829
6239.F02E9.2a	GO:0001708,GO:0005737,GO:0007549,GO:0040034,GO:0070883
4896.SPCC18B5.03.1	GO:0000077,GO:0004693,GO:0004715,GO:0005654,GO:0007093,GO:0010972,GO:0031661,GO:0036289,GO:0038083,GO:0044387,GO:0044732,GO:0051519,GO:0071341
10090.ENSMUSP00000124376	GO:0005913,GO:0007409,GO:0016323,GO:0021942,GO:0030027,GO:0030424,GO:0048813,GO:0048854,GO:0051823,GO:0060134
10090.ENSMUSP00000032457	GO:0001889,GO:0004839,GO:0006520,GO:0006914,GO:0007005,GO:0007628,GO:0009791,GO:0019778,GO:0021680,GO:0021860,GO:0021955,GO:0021987,GO:0030163,GO:0031396,GO:0031401,GO:0032446,GO:0042594,GO:0043066,GO:0050877,GO:0055013,GO:0061024
10090.ENSMUSP00000032454	GO:0005886,GO:0030424
39946.BGIOSGA039181-PA	GO:0005739
9606.ENSP00000328144	GO:0005886
7227.FBpp0290876	GO:0005516,GO:0005622,GO:0007589,GO:0007603,GO:0007605,GO:0008086,GO:0016027,GO:0030425,GO:0034703,GO:0035997,GO:0071454
9606.ENSP00000399709	GO:0005254,GO:0005829,GO:0007601,GO:0016021,GO:0016323,GO:0030321
6239.ZK688.8.1	GO:0004653,GO:0018243
4932.YKL087C	GO:0004408,GO:0005758,GO:0018063
4932.YPL111W	GO:0004053,GO:0005829,GO:0008270,GO:0019547,GO:0030145,GO:0090369
4932.YIL131C	GO:0000978,GO:0001077,GO:0001078,GO:0003688,GO:0005634,GO:0005829,GO:0006338,GO:0006369,GO:0007535,GO:0019237,GO:0031124,GO:0032298,GO:0034244,GO:0071406,GO:0071930,GO:0090055,GO:0090282,GO:0090419,GO:2000221
9606.ENSP00000299767	GO:0001666,GO:0002224,GO:0003723,GO:0005509,GO:0005576,GO:0005788,GO:0005789,GO:0005829,GO:0006987,GO:0019903,GO:0030433,GO:0030496,GO:0031247,GO:0043066,GO:0043666,GO:0045087,GO:0046790,GO:0048471,GO:0050750,GO:0071318,GO:0071682
4896.SPBC1198.13c.1	GO:0005634,GO:0044732
10116.ENSRNOP00000039792	GO:0031100
9606.ENSP00000335632	GO:0005509,GO:0005886,GO:0006813,GO:0007264,GO:0010923,GO:0015459,GO:0032088,GO:0032417,GO:0042308,GO:0048306,GO:0051453,GO:0070885
9606.ENSP00000335636	GO:0005622
4932.YNL152W	GO:0000142,GO:0000281,GO:0000917,GO:0030234,GO:0044697,GO:0051276
10090.ENSMUSP00000048360	GO:0001673
9606.ENSP00000315212	GO:0003700,GO:0005634,GO:0005737,GO:0008270,GO:0015630,GO:0043161,GO:0045944,GO:0046685,GO:0090169,GO:0090234
10090.ENSMUSP00000048363	GO:0000045,GO:0000122,GO:0000186,GO:0001568,GO:0001708,GO:0001756,GO:0001764,GO:0001921,GO:0001947,GO:0002244,GO:0002286,GO:0002573,GO:0004175,GO:0005634,GO:0006486,GO:0006839,GO:0006974,GO:0006979,GO:0007175,GO:0007219,GO:0007220,GO:0007613,GO:0009791,GO:0015031,GO:0015813,GO:0015871,GO:0016080,GO:0021795,GO:0021870,GO:0021904,GO:0030326,GO:0030424,GO:0030426,GO:0031410,GO:0032436,GO:0034205,GO:0035253,GO:0042640,GO:0043025,GO:0043065,GO:0043066,GO:0043198,GO:0043393,GO:0043406,GO:0043589,GO:0048167,GO:0048538,GO:0048666,GO:0048705,GO:0048854,GO:0050673,GO:0050771,GO:0050820,GO:0050852,GO:0051402,GO:0051444,GO:0051563,GO:0051966,GO:0060075,GO:2000059,GO:2001234
4932.YNR002C	GO:0005886,GO:0008519,GO:0019740
4932.YBL018C	GO:0000172,GO:0005655,GO:0005829,GO:0006379,GO:0008033,GO:0034965
9606.ENSP00000360966	GO:0005886
10090.ENSMUSP00000119939	GO:0005739
3702.AT4G27950.1	GO:0042991,GO:0048366
4896.SPBC3B9.16c.1	GO:0000070,GO:0016973,GO:0031080,GO:0031081,GO:0031965,GO:0051301
316407.1651329	GO:0005886,GO:0016021,GO:0017038,GO:0043213
316407.1651328	GO:0005506,GO:0009055,GO:0016682,GO:0017004,GO:0020037
9606.ENSP00000286955	GO:0005794,GO:0006486,GO:0046920
4896.SPBC21C3.11.1	GO:0005634,GO:0005829
9606.ENSP00000379330	GO:0003677,GO:0003700,GO:0005654,GO:0005829,GO:0005886,GO:0006974,GO:0015629,GO:0016477,GO:0030890,GO:0038095,GO:0042493,GO:0045087,GO:0045893,GO:0050853
316407.1651321	GO:0004591,GO:0005829
316407.1651320	GO:0009055,GO:0009060,GO:0051537,GO:0051538,GO:0051539
316407.1651323	GO:0004775,GO:0005737,GO:0006099
316407.1651322	GO:0004149,GO:0006099,GO:0031405,GO:0045252
4896.SPAC13G6.06c.1	GO:0005739
316407.1651324	GO:0005737
316407.1651327	GO:0009055,GO:0016020,GO:0016679,GO:0017004,GO:0020037
4896.SPAC140.04.1	GO:0005634
9606.ENSP00000360492	GO:0005747,GO:0044281
4896.SPAC11D3.07c.1	GO:0005634
4932.YDL035C	GO:0001302,GO:0001403,GO:0004930,GO:0005536,GO:0005886,GO:0007124,GO:0009731,GO:0009745,GO:0010255,GO:0051594
9606.ENSP00000264818	GO:0004715,GO:0005634,GO:0005829,GO:0060337,GO:0060338
6239.C15A11.3	GO:0001966,GO:0006972,GO:0008328,GO:0016247,GO:0032589,GO:0040012,GO:0045202,GO:0051968
44689.DDB0233143	GO:0005737
4896.SPAC1071.07c.1	GO:0005730
10090.ENSMUSP00000035101	GO:0001228,GO:0005634,GO:0009791,GO:0043565,GO:0048008,GO:0048705,GO:0060021,GO:0060325
9606.ENSP00000371927	GO:0004930,GO:0007189
10090.ENSMUSP00000035105	GO:0005634,GO:0043236
9606.ENSP00000470422	GO:0005634
9606.ENSP00000371929	GO:0005886,GO:0034220
10090.ENSMUSP00000016781	GO:0005813,GO:0030992,GO:0042073,GO:0097225,GO:0097228
9606.ENSP00000372347	GO:0005730,GO:0009653,GO:0031965
44689.DDB0304859	GO:0019953
10090.ENSMUSP00000026888	GO:0000122,GO:0006366,GO:0043433
4932.YIL011W	GO:0009277
9606.ENSP00000326232	GO:0005886
10090.ENSMUSP00000026881	GO:0031666
10090.ENSMUSP00000034854	GO:0001508,GO:0006939,GO:0006940,GO:0007626,GO:0035095,GO:0060084
316407.1651491	GO:0003681
10090.ENSMUSP00000034856	GO:0004476,GO:0006013
10090.ENSMUSP00000034851	GO:0004889,GO:0005892,GO:0006940,GO:0007171,GO:0007271,GO:0007626,GO:0014056,GO:0035095,GO:0045211,GO:0048814,GO:0060079,GO:0060084
3702.AT5G09640.1	GO:0016752,GO:0019748
9606.ENSP00000385021	GO:0004842,GO:0006281,GO:0006513,GO:0043240
316407.1651498	GO:0006006,GO:0008877,GO:0016158,GO:0042597
10090.ENSMUSP00000034859	GO:0000209,GO:0005634,GO:0005737,GO:0006913,GO:0009267,GO:0032436,GO:0048742,GO:2000060
10116.ENSRNOP00000049003	GO:0001666,GO:0001889,GO:0002526,GO:0005615,GO:0005783,GO:0005794,GO:0007283,GO:0009408,GO:0010165,GO:0010288,GO:0030492,GO:0031100,GO:0032026,GO:0032496,GO:0033590,GO:0033591,GO:0042493,GO:0042803,GO:0051384,GO:0051602
3702.AT5G22800.1	GO:0005739,GO:0009570,GO:0009793,GO:0016020
4896.SPBC646.12c.1	GO:0005099,GO:0005634,GO:0005829,GO:0032005,GO:0046580
10116.ENSRNOP00000000008	GO:0004351,GO:0009449,GO:0016595,GO:0030170,GO:0042493,GO:0046982
419947.MRA_0756	GO:0045927
9606.ENSP00000332369	GO:0001666,GO:0003870,GO:0005743,GO:0005759,GO:0044281
9606.ENSP00000417085	GO:0005887,GO:0015333
9606.ENSP00000311825	GO:0008285,GO:0019079
9606.ENSP00000359928	GO:0004672,GO:0005634,GO:0005737
7955.ENSDARP00000034818	GO:0031017,GO:0051567,GO:0060042
10090.ENSMUSP00000063250	GO:0005654,GO:0019827
4932.YIL047C	GO:0005886,GO:0007165
3702.AT4G09730.1	GO:0009507,GO:0016887,GO:0070180,GO:0080158,GO:1901259
10116.ENSRNOP00000016052	GO:0005158,GO:0005615,GO:0030141,GO:0034097,GO:0043434,GO:0051591
10090.ENSMUSP00000065825	GO:0007186
3702.AT3G16340.1	GO:0005886,GO:1901140,GO:1901141
3702.AT2G28110.1	GO:0005794,GO:0009834,GO:0010417
7955.ENSDARP00000020853	GO:0042462
3702.AT1G67090.1	GO:0005507,GO:0009409,GO:0009535,GO:0009570,GO:0009637,GO:0009941,GO:0010114,GO:0010218,GO:0015979,GO:0022626,GO:0031977,GO:0048046,GO:0080158
10090.ENSMUSP00000076790	GO:0009100,GO:0030176,GO:0032281
3702.AT1G35580.1	GO:0004575,GO:0005634,GO:0005829,GO:0005886,GO:0005987,GO:0006520,GO:0042542,GO:0048364
4932.YGR040W	GO:0000750,GO:0001402,GO:0001403,GO:0004707,GO:0005634,GO:0043433
316385.ECDH10B_2948	GO:0009267,GO:0047429
316385.ECDH10B_2949	GO:0004521,GO:0030308,GO:0043488
3702.AT1G28380.1	GO:0009626,GO:0009651,GO:0010337,GO:0052542
316385.ECDH10B_2946	GO:0000287,GO:0004634,GO:0005829,GO:0006096,GO:0016020
316385.ECDH10B_2947	GO:0003883,GO:0005829,GO:0006241,GO:0042802
318829.MGG_05569T0	GO:0043581
316385.ECDH10B_2941	GO:0006974
9606.ENSP00000200691	GO:0000060,GO:0005507,GO:0008144,GO:0008270,GO:0008283,GO:0010940,GO:0016234,GO:0016570,GO:0019430,GO:0030295,GO:0030517,GO:0030949,GO:0032148,GO:0035690,GO:0036091,GO:0043027,GO:0043491,GO:0046870,GO:0048471,GO:0050821,GO:0051354,GO:0055073,GO:0060547,GO:0070371,GO:0070374,GO:0071276,GO:0071456,GO:0071732,GO:2000378
3702.AT4G25840.1	GO:0006114,GO:0043136
3702.AT5G63480.1	GO:0016592
9606.ENSP00000374423	GO:0005100,GO:0005829,GO:0007264,GO:0070374
9606.ENSP00000321951	GO:0043523,GO:0045121
9606.ENSP00000317027	GO:0000139,GO:0008109,GO:0016266,GO:0043687
4932.YEL047C	GO:0005829,GO:0016156,GO:0071454
3702.AT2G27210.1	GO:0005829,GO:0005886
4932.YMR058W	GO:0004322,GO:0006827,GO:0033215,GO:0033573,GO:0046688
511145.b0911	GO:0003729,GO:0003735,GO:0006412,GO:0016020,GO:0022627,GO:2000766
3702.AT2G34460.1	GO:0009535,GO:0009941,GO:0010287
3702.AT4G32880.1	GO:0005634,GO:0008284,GO:0009733,GO:0010067,GO:0010072,GO:0010089,GO:0045597
3702.AT4G31780.2	GO:0009247,GO:0009706,GO:0009790,GO:0010027,GO:0046509
511145.b2427	GO:0003700,GO:0045892
9606.ENSP00000339850	GO:0005829,GO:0007411
511145.b2421	GO:0004124,GO:0006535,GO:0080146
10116.ENSRNOP00000019272	GO:0043512,GO:0046982,GO:0071372,GO:0071397
9606.ENSP00000340688	GO:0004930,GO:0016021
4932.YDL043C	GO:0000245,GO:0003723,GO:0071004
9606.ENSP00000340684	GO:0005741,GO:0006576,GO:0006805,GO:0007269,GO:0007610,GO:0008131,GO:0042136,GO:0044281
511145.b2428	GO:0009254,GO:0016803,GO:0016835,GO:0046348
3702.AT4G37980.1	GO:0009617,GO:0009809,GO:0045551
9606.ENSP00000385025	GO:0005634
10090.ENSMUSP00000020102	GO:0005313,GO:0030672
9606.ENSP00000343521	GO:0005886
10090.ENSMUSP00000020106	GO:0001822,GO:0006807,GO:0008584,GO:0008585,GO:0009791,GO:0010761,GO:0030325,GO:0035264,GO:0045444,GO:0048008,GO:0048468,GO:0048644,GO:0048705,GO:0051091,GO:0060021,GO:0060325,GO:0060613
4932.YLR118C	GO:0008474,GO:0035601
10090.ENSMUSP00000094164	GO:0000122,GO:0005634,GO:0006402,GO:0035019,GO:0045665
6239.R12A1.4.2	GO:0005777,GO:0052689
9606.ENSP00000365012	GO:0002522,GO:0002758,GO:0004713,GO:0005764,GO:0005829,GO:0005901,GO:0005925,GO:0007155,GO:0007229,GO:0007498,GO:0008284,GO:0008360,GO:0016032,GO:0030838,GO:0031234,GO:0031663,GO:0038096,GO:0043066,GO:0043299,GO:0045728,GO:0046777,GO:0050690,GO:0050727,GO:0050764,GO:0051090,GO:0060333,GO:0071801,GO:2000251
10116.ENSRNOP00000040184	GO:0005634,GO:0005829,GO:0030521
10090.ENSMUSP00000129186	GO:0005739
4896.SPBC8D2.11.1	GO:0005634,GO:0005829
9606.ENSP00000259806	GO:0003700,GO:0005634,GO:0005667,GO:0043565,GO:0045944,GO:0048806,GO:0060021
10090.ENSMUSP00000064155	GO:0000781,GO:0001939,GO:0001940,GO:0019827
10090.ENSMUSP00000129181	GO:0001639,GO:0005737,GO:0007612,GO:0007626,GO:0043005,GO:0048169
10090.ENSMUSP00000064158	GO:0004751
273121.WS0970	GO:0006807,GO:0016021
4932.YHR189W	GO:0004045,GO:0032543
196627.cg2368	GO:0008763
10116.ENSRNOP00000045645	GO:0042542
316385.ECDH10B_0503	GO:0000405,GO:0006298
3702.AT1G29260.1	GO:0006625
10090.ENSMUSP00000021273	GO:0005516,GO:0005543,GO:0005802,GO:0005886,GO:0016079,GO:0017156,GO:0017157,GO:0030672,GO:0032869,GO:0042589,GO:0043001,GO:0048471,GO:0061025,GO:0070044,GO:0090316
4896.SPAC1565.01.1	GO:0005739
10090.ENSMUSP00000021271	GO:0000122,GO:0000989,GO:0005654,GO:0005829,GO:0007623,GO:0009416
7227.FBpp0075465	GO:0005184,GO:0007204,GO:0007589,GO:0008613,GO:2000252
10090.ENSMUSP00000045200	GO:0005737,GO:0005876,GO:0008017
9606.ENSP00000240499	GO:0006366,GO:0035108
3702.AT5G39740.1	GO:0005730,GO:0005773,GO:0005886,GO:0008283,GO:0009965,GO:0022625
3702.AT5G04130.1	GO:0005739
3702.AT4G39640.1	GO:0006751,GO:0006979,GO:0009505,GO:0009506,GO:0016756,GO:0048046
76114.c1A58	GO:0010130,GO:0016616,GO:0051289
316407.85675615	GO:0005887
316407.85675616	GO:0003941,GO:0006565
316407.85675617	GO:0000287,GO:0003677,GO:0017108,GO:0030955,GO:0033567
316407.85675610	GO:0009982,GO:0031119
10116.ENSRNOP00000040234	GO:0000122,GO:0003705,GO:0005634,GO:0045944
10116.ENSRNOP00000040237	GO:0015125,GO:0043252
316407.85675613	GO:0008616,GO:0033739
39947.LOC_Os06g06300.1	GO:0009909,GO:0010229,GO:0048510,GO:0048573
316407.85675618	GO:0008198,GO:0008912,GO:0019301,GO:0042355,GO:0042846,GO:0051143
316407.85675619	GO:0008738,GO:0019571,GO:0042355
3702.AT4G37220.1	GO:0009744,GO:0009749,GO:0009750
10090.ENSMUSP00000063784	GO:0004999
316407.1742846	GO:0006974,GO:0008795,GO:0034355,GO:0034628
9606.ENSP00000301015	GO:0005783,GO:0033625,GO:0033634
9913.ENSBTAP00000004879	GO:0032385,GO:1901373
9606.ENSP00000337103	GO:0005634,GO:0005829,GO:0006656,GO:0007269
9606.ENSP00000322421	GO:0005576,GO:0005833,GO:0010942,GO:0015671,GO:0015701,GO:0022627,GO:0031838,GO:0042744,GO:0044281,GO:0051291,GO:0071682
3702.AT2G21060.1	GO:0005634,GO:0005829,GO:0009409,GO:0009790,GO:0010154
9606.ENSP00000302719	GO:0005886,GO:0006813,GO:0007268,GO:0015459
4896.SPCC622.03c.1	GO:0005737
9606.ENSP00000270225	GO:0004839,GO:0005654,GO:0008022,GO:0008047,GO:0016567,GO:0016925,GO:0043008,GO:0046982
10116.ENSRNOP00000007367	GO:0005634,GO:0005737,GO:0030425,GO:0045727
9031.ENSGALP00000037592	GO:0032217
4932.YDR318W	GO:0000817,GO:0034087
9606.ENSP00000337289	GO:0000278,GO:0005654,GO:0005829,GO:0034080
9606.ENSP00000463151	GO:0001523,GO:0005501,GO:0005615,GO:0007601,GO:0007603
3702.AT4G31140.1	GO:0005773,GO:0009505,GO:0009506,GO:0046658
4932.YDL138W	GO:0004872,GO:0005536,GO:0005886,GO:0007165,GO:0051594
44689.DDB0230197	GO:0004591
5141.EFNCRP00000001091	GO:0001819,GO:0002576,GO:0004784,GO:0005507,GO:0005615,GO:0005634,GO:0005777,GO:0005829,GO:0007569,GO:0008270,GO:0030168,GO:0030346,GO:0031012,GO:0031410,GO:0032314,GO:0032839,GO:0032930,GO:0043025,GO:0043065,GO:0043234,GO:0045541,GO:0048365,GO:0050665,GO:0051881,GO:0060047,GO:1902177
3702.AT1G20300.1	GO:0005739
4932.YPL192C	GO:0000742,GO:0005816,GO:0031316,GO:0048288
4932.YEL029C	GO:0005737,GO:0042823
9606.ENSP00000384264	GO:0005887,GO:0007601,GO:0016056,GO:0022400
